empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
MAYFLOWER BUFFALO,1,142,OBI Coaching MB,0,86,1,1,0.0,0.0,0.0,Stand by,135.333,2026-03-02 09:50:07,127.5,Por Alcance,0.0,0.0,0.0
MILLICOM TELEFONICA PA NI,9,15133,Capex,1,16182,18,18,792.0,0.0,50934.0,Stand by,5900.5,2026-03-02 09:50:07,5594.25,Por Alcance,0.0,0.0,0.0
MINISTERIO SALUD PUBLICA,1,567,Preventa Indicadores Gerenciales,0,127,2,1,0.0,0.0,0.0,Stand by,256.667,2026-03-02 09:50:07,209.667,Por Alcance,0.0,0.0,0.0
MODEC,3,13431,Modec_Budget,1,20196,6,6,1206.0,1.0,79936.0,Esporádico,1084.0,2026-03-02 09:50:07,917.5,Por Alcance,0.0,0.0,0.0
MODEC GUYANA,2,10234,Modec Guyana Adaptive,1,15184,4,4,500.0,1.0,34836.0,Esporádico,447.75,2026-03-03 23:00:00,437.75,Por Alcance,0.0,0.0,0.0
MODERNA,1,3977,Moderna - Budget 2024,0,6852,1,2,0.0,0.0,0.0,Permanente,33.5,2026-03-02 09:50:07,32.5,Por Alcance,0.0,0.0,0.0
MODERNA ALIMENTOS,2,8815,Carga datos 2025,1,3462,4,4,1600.0,1.0,80000.0,Esporádico,2475.75,2026-03-02 09:50:07,2280.0,Por Alcance,0.0,0.0,0.0
MULTICINES,1,1738,Multicines,0,2352,2,2,242.0,0.0,12285.0,Stand by,289.5,2026-03-02 09:50:07,281.0,Por Alcance,0.0,0.0,0.0
MUNICIPIO DE QUITO,1,836,Adquisición de Licencias BI,0,1512,2,1,0.0,0.0,0.0,Stand by,12.0,2026-03-02 09:50:07,12.0,Por Alcance,0.0,0.0,0.0
NOBIS,2,1781,APLINK,0,2974,3,22,0.0,0.0,0.0,Stand by,254.0,2026-03-02 09:50:07,175.0,Por Alcance,0.0,0.0,0.0
NOVA ECUADOR,10,24891,H. Soporte (PPTO 2016),3,14230,20,18,267.0,3.0,6600.0,Stand by,991.0,2026-03-02 09:50:07,895.5,Por Alcance,0.0,0.0,0.0
